name,collection_or_case,rarity,float_category
★ Hand Wraps | Spruce DDPAT,Unknown,Extraordinary,0.06 - 0.8
CZ75-Auto | Imprint,The Gamma 2 Collection,Mil-Spec Grade,0 - 1
CZ75-Auto | Vendetta,The Operation Broken Fang Collection,Mil-Spec Grade,0 - 1
CZ75-Auto | Red Astor,The Chroma 3 Collection,Restricted,0 - 1
CZ75-Auto | Xiangliu,The Spectrum Collection,Classified,0 - 0.56
CZ75-Auto | Syndicate,The 2021 Train Collection,Restricted,0 - 0.7
CZ75-Auto | Hexane,The eSports 2014 Summer Collection,Mil-Spec Grade,0 - 0.4
CZ75-Auto | Green Plaid,The Baggage Collection,Consumer Grade,0 - 0.58
CZ75-Auto | Framework,The 2021 Vertigo Collection,Consumer Grade,0 - 0.8
CZ75-Auto | Crimson Web,The Arms Deal 3 Collection,Mil-Spec Grade,0.06 - 0.8
CZ75-Auto | Indigo,The Canals Collection,Consumer Grade,0.06 - 0.8
CZ75-Auto | Nitro,The Overpass Collection,Mil-Spec Grade,0.06 - 0.8
CZ75-Auto | Tuxedo,The Bank Collection,Mil-Spec Grade,0 - 0.8
CZ75-Auto | Pink Pearl,The Radiant Collection,Consumer Grade,0 - 0.7
CZ75-Auto | Midnight Palm,The 2021 Mirage Collection,Industrial Grade,0 - 0.5
CZ75-Auto | Jungle Dashed,The Control Collection,Consumer Grade,0.06 - 0.8
Desert Eagle | Blaze,The Dust Collection,Restricted,0 - 0.08
Desert Eagle | Hypnotic,The Arms Deal Collection,Classified,0 - 0.08
Desert Eagle | Bronze Deco,The Chroma 2 Collection,Mil-Spec Grade,0 - 0.46
Desert Eagle | Meteorite,The Bank Collection,Mil-Spec Grade,0 - 0.18
Desert Eagle | Cobalt Disruption,The eSports 2013 Winter Collection,Classified,0 - 0.2
Desert Eagle | Night Heist,The Havoc Collection,Mil-Spec Grade,0 - 0.65
Desert Eagle | Emerald Jörmungandr,The Norse Collection,Restricted,0 - 0.5
Desert Eagle | The Bronze,The Control Collection,Industrial Grade,0 - 0.3
Desert Eagle | Golden Koi,The Bravo Collection,Covert,0 - 0.12
Desert Eagle | Sunset Storm 壱,The Rising Sun Collection,Restricted,0 - 0.75
Desert Eagle | Midnight Storm,The Rising Sun Collection,Industrial Grade,0 - 0.75
Desert Eagle | Sunset Storm 弐,The Rising Sun Collection,Restricted,0 - 0.75
Desert Eagle | Heat Treated,Limited Edition Item,Classified,0 - 1
Desert Eagle | Corinthian,The Revolver Case Collection,Mil-Spec Grade,0 - 0.44
Desert Eagle | Naga,The Chroma Collection,Restricted,0 - 1
Desert Eagle | Directive,The Gamma 2 Collection,Restricted,0.06 - 1
Desert Eagle | Kumicho Dragon,The Wildfire Collection,Classified,0 - 0.76
Desert Eagle | Heirloom,The Arms Deal 3 Collection,Restricted,0 - 0.8
Desert Eagle | Hand Cannon,The Cobblestone Collection,Restricted,0.01 - 0.7
Desert Eagle | Pilot,The Baggage Collection,Restricted,0 - 1
Desert Eagle | Printstream,The Fracture Collection,Covert,0 - 0.8
Desert Eagle | Trigger Discipline,The Snakebite Collection,Restricted,0 - 0.97
Desert Eagle | Conspiracy,The Breakout Collection,Classified,0 - 0.3
Desert Eagle | Ocean Drive,The Operation Riptide Collection,Covert,0 - 1
Desert Eagle | Blue Ply,The Prisma 2 Collection,Mil-Spec Grade,0 - 1
Desert Eagle | Oxide Blaze,The Spectrum Collection,Mil-Spec Grade,0 - 0.5
Desert Eagle | Starcade,The Graphic Design Collection,Classified,0 - 0.75
Desert Eagle | Tilted,The Overpass 2024 Collection,Industrial Grade,0 - 0.75
Desert Eagle | Calligraffiti,The Gallery Collection,Mil-Spec Grade,0 - 1
Desert Eagle | Serpent Strike,The Fever Collection,Restricted,0 - 0.57
Desert Eagle | Code Red,The Horizon Collection,Covert,0 - 1
Desert Eagle | Light Rail,The Prisma Collection,Restricted,0 - 0.9
Desert Eagle | Fennec Fox,The 2021 Mirage Collection,Classified,0 - 0.8
Desert Eagle | Mecha Industries,The Danger Zone Collection,Classified,0 - 0.6
Desert Eagle | Mint Fan,The Ascent Collection,Mil-Spec Grade,0 - 0.6
Desert Eagle | Urban DDPAT,The Overpass Collection,Industrial Grade,0.06 - 0.8
Desert Eagle | Mudder,The Lake Collection,Industrial Grade,0.06 - 0.8
Desert Eagle | Urban Rubble,The Train Collection,Mil-Spec Grade,0 - 0.5
Desert Eagle | Crimson Web,The eSports 2014 Summer Collection,Restricted,0.06 - 0.8
Desert Eagle | Night,The Chop Shop Collection,Industrial Grade,0.06 - 0.8
Desert Eagle | Mulberry,The Radiant Collection,Restricted,0 - 0.75
Desert Eagle | Sputnik,The 2021 Train Collection,Mil-Spec Grade,0 - 0.5
Dual Berettas | Cobalt Quartz,The Lake Collection,Restricted,0 - 0.4
Dual Berettas | Heist,The Havoc Collection,Consumer Grade,0 - 0.7
Dual Berettas | Hemoglobin,The Arms Deal 2 Collection,Restricted,0 - 0.2
Dual Berettas | Emerald,The Canals Collection,Mil-Spec Grade,0 - 0.08
Dual Berettas | Anodized Navy,The Inferno Collection,Mil-Spec Grade,0 - 0.08
Dual Berettas | Cartel,The Wildfire Collection,Mil-Spec Grade,0 - 1
Dual Berettas | Stained,The Italy Collection,Industrial Grade,0 - 1
Dual Berettas | Flora Carnivora,The Recoil Collection,Restricted,0 - 1
Dual Berettas | Twin Turbo,The 2018 Inferno Collection,Classified,0 - 1
Dual Berettas | Dualing Dragons,The Shadow Collection,Mil-Spec Grade,0 - 1
Dual Berettas | Melondrama,The Dreams & Nightmares Collection,Classified,0 - 1
Dual Berettas | Urban Shock,The Chroma Collection,Restricted,0 - 0.47
Dual Berettas | Sweet Little Angels,The Overpass 2024 Collection,Restricted,0 - 0.82
Dual Berettas | Retribution,The Huntsman Collection,Mil-Spec Grade,0 - 0.45
Dual Berettas | Black Limba,The Bravo Collection,Mil-Spec Grade,0.06 - 0.8
Dual Berettas | Hideout,The Kilowatt Collection,Mil-Spec Grade,0 - 0.698529
Dual Berettas | Hydro Strike,The Gallery Collection,Restricted,0 - 0.801418
Dual Berettas | Royal Consorts,The Glove Collection,Restricted,0 - 1
Dual Berettas | Tread,The Operation Riptide Collection,Mil-Spec Grade,0 - 1
Dual Berettas | Elite 1.6,The CS20 Collection,Mil-Spec Grade,0 - 0.7
Dual Berettas | Dezastre,The Operation Broken Fang Collection,Restricted,0 - 1
Dual Berettas | Balance,The Shattered Web Collection,Mil-Spec Grade,0 - 1
Dual Berettas | Cobra Strike,The Operation Hydra Collection,Classified,0 - 0.6
Dual Berettas | Ventilators,The Chroma 3 Collection,Mil-Spec Grade,0 - 0.45
Dual Berettas | Duelist,The Chop Shop Collection,Restricted,0 - 1
Dual Berettas | Pyre,The Norse Collection,Industrial Grade,0.06 - 0.55
Dual Berettas | Marina,The Winter Offensive Collection,Restricted,0.05 - 0.5
Dual Berettas | Switch Board,The Control Collection,Industrial Grade,0 - 0.65
Dual Berettas | Briar,The Cobblestone Collection,Consumer Grade,0 - 0.22
Dual Berettas | Moon in Libra,The Gods and Monsters Collection,Consumer Grade,0 - 0.5
Dual Berettas | Panther,The Arms Deal 3 Collection,Mil-Spec Grade,0 - 0.58
Dual Berettas | Contractor,The Safehouse Collection,Consumer Grade,0.06 - 0.8
Dual Berettas | Colony,The Train Collection,Consumer Grade,0.06 - 0.8
Dual Berettas | Demolition,The Vertigo Collection,Restricted,0.26 - 0.6
Dual Berettas | BorDeux,The Radiant Collection,Consumer Grade,0 - 0.8
Dual Berettas | Polished Malachite,The Boreal Collection,Industrial Grade,0 - 0.8
Dual Berettas | Rose Nacre,The Ascent Collection,Industrial Grade,0 - 0.7
Dual Berettas | Drift Wood,The 2021 Mirage Collection,Industrial Grade,0 - 0.6
Dual Berettas | Shred,The Horizon Collection,Mil-Spec Grade,0 - 0.5
Dual Berettas | Oil Change,The 2021 Vertigo Collection,Consumer Grade,0 - 0.5
FAMAS | Faulty Wiring,The 2021 Vertigo Collection,Consumer Grade,0 - 0.5
FAMAS | Neural Net,The Falchion Collection,Restricted,0 - 0.6
FAMAS | Meltdown,The 2021 Train Collection,Classified,0 - 0.4
FAMAS | Styx,The Cache Collection,Restricted,0 - 0.6
FAMAS | Prime Conspiracy,The Control Collection,Restricted,0 - 0.55
FAMAS | Dark Water,The Ancient Collection,Mil-Spec Grade,0.1 - 0.26
FAMAS | Sergeant,The Phoenix Collection,Restricted,0.1 - 1
FAMAS | Valence,The Wildfire Collection,Restricted,0 - 0.8
FAMAS | Djinn,The Chroma 2 Collection,Classified,0 - 1
FAMAS | Afterimage,The eSports 2013 Winter Collection,Classified,0.02 - 0.4
FAMAS | Waters of Nephthys,The Anubis Collection,Classified,0 - 0.7
FAMAS | Survivor Z,The Shadow Collection,Mil-Spec Grade,0 - 0.6
FAMAS | Decommissioned,The CS20 Collection,Mil-Spec Grade,0 - 1
FAMAS | Eye of Athena,The Horizon Collection,Classified,0 - 0.7
FAMAS | Pulse,The Winter Offensive Collection,Restricted,0 - 0.4
FAMAS | ZX Spectron,The Operation Riptide Collection,Restricted,0 - 1
FAMAS | Bad Trip,The Fever Collection,Covert,0 - 1
FAMAS | Meow 36,The Recoil Collection,Mil-Spec Grade,0 - 1
FAMAS | Commemoration,The CS20 Collection,Covert,0 - 0.5
FAMAS | Mecha Industries,The Glove Collection,Classified,0 - 0.5
FAMAS | Roll Cage,The Gamma 2 Collection,Covert,0 - 1
FAMAS | Rapid Eye Movement,The Dreams & Nightmares Collection,Classified,0 - 1
FAMAS | Half Sleeve,The Sport & Field Collection,Industrial Grade,0 - 1
FAMAS | 2A2F,The Train 2025 Collection,Mil-Spec Grade,0 - 0.86
FAMAS | Halftone Wash,The Graphic Design Collection,Industrial Grade,0 - 0.5
FAMAS | Hexane,The Arms Deal 2 Collection,Mil-Spec Grade,0 - 0.4
FAMAS | Doomkitty,The eSports 2013 Collection,Mil-Spec Grade,0.08 - 0.22
FAMAS | Cyanospatter,The Lake Collection,Industrial Grade,0.06 - 0.8
FAMAS | CaliCamo,The 2021 Mirage Collection,Industrial Grade,0 - 0.6
FAMAS | Colony,The Italy Collection,Consumer Grade,0.06 - 0.8
FAMAS | Yeti Camo,The Ascent Collection,Mil-Spec Grade,0 - 0.7
FAMAS | Grey Ghost,The Radiant Collection,Industrial Grade,0 - 0.637288
FAMAS | Crypsis,The Prisma Collection,Mil-Spec Grade,0 - 0.55
FAMAS | Macabre,The Operation Hydra Collection,Mil-Spec Grade,0 - 0.6
FAMAS | Night Borre,The Norse Collection,Consumer Grade,0 - 0.55
FAMAS | Teardown,The Safehouse Collection,Mil-Spec Grade,0 - 0.6
FAMAS | Sundown,The St. Marc Collection,Mil-Spec Grade,0 - 0.6
FAMAS | Spitfire,The Alpha Collection,Restricted,0.06 - 0.8
FAMAS | Contrast Spray,The Office Collection,Consumer Grade,0.06 - 0.8
FAMAS | Palm,The Boreal Collection,Consumer Grade,0 - 0.75
Five-SeveN | Berries And Cherries,The Control Collection,Restricted,0 - 0.1
Five-SeveN | Copper Galaxy,The Arms Deal 3 Collection,Restricted,0 - 0.2
Five-SeveN | Silver Quartz,The Safehouse Collection,Mil-Spec Grade,0 - 0.4
Five-SeveN | Anodized Gunmetal,The Alpha Collection,Consumer Grade,0 - 0.08
Five-SeveN | Fowl Play,The Breakout Collection,Classified,0 - 1
Five-SeveN | Heat Treated,The Sport & Field Collection,Restricted,0 - 1
Five-SeveN | Scumbria,The Gamma 2 Collection,Mil-Spec Grade,0 - 1
Five-SeveN | Case Hardened,The Arms Deal 2 Collection,Restricted,0 - 1
Five-SeveN | Angry Mob,The Prisma Collection,Covert,0 - 0.7
Five-SeveN | Violent Daimyo,The Gamma Collection,Mil-Spec Grade,0 - 0.7
Five-SeveN | Fairy Tale,The Operation Broken Fang Collection,Classified,0.02 - 0.9
Five-SeveN | Scrawl,The Dreams & Nightmares Collection,Mil-Spec Grade,0 - 1
Five-SeveN | Triumvirate,The Wildfire Collection,Restricted,0 - 0.61
Five-SeveN | Monkey Business,The Chroma 2 Collection,Classified,0.1 - 0.9
Five-SeveN | Buddy,The CS20 Collection,Restricted,0 - 0.55
Five-SeveN | Hyper Beast,The Operation Hydra Collection,Covert,0 - 1
Five-SeveN | Retrobution,The Revolver Case Collection,Restricted,0 - 1
Five-SeveN | Urban Hazard,The Vanguard Collection,Mil-Spec Grade,0 - 0.25
Five-SeveN | Capillary,The Spectrum Collection,Mil-Spec Grade,0 - 0.7
Five-SeveN | Fall Hazard,The 2021 Vertigo Collection,Classified,0.01 - 0.52
Five-SeveN | Hybrid,The Kilowatt Collection,Restricted,0 - 1
Five-SeveN | Boost Protocol,The Operation Riptide Collection,Restricted,0 - 0.41
Five-SeveN | Flame Test,The Clutch Collection,Mil-Spec Grade,0 - 0.65
Five-SeveN | Crimson Blossom,The St. Marc Collection,Mil-Spec Grade,0 - 0.5
Five-SeveN | Coolant,The 2018 Nuke Collection,Consumer Grade,0 - 0.5
Five-SeveN | Nightshade,The eSports 2013 Winter Collection,Mil-Spec Grade,0 - 0.5
Five-SeveN | Forest Night,The Train Collection,Consumer Grade,0.06 - 0.8
Five-SeveN | Kami,The Winter Offensive Collection,Mil-Spec Grade,0 - 0.3
Five-SeveN | Neon Kimono,The Rising Sun Collection,Restricted,0 - 0.8
Five-SeveN | Midnight Paintover,The Overpass 2024 Collection,Industrial Grade,0 - 0.5
Five-SeveN | Hot Shot,The Cache Collection,Industrial Grade,0 - 1
Five-SeveN | Jungle,The Aztec Collection,Consumer Grade,0.06 - 0.8
Five-SeveN | Nitro,The Chop Shop Collection,Mil-Spec Grade,0.06 - 0.8
Five-SeveN | Contractor,The Mirage Collection,Consumer Grade,0.06 - 0.8
Five-SeveN | Candy Apple,The Assault Collection,Industrial Grade,0 - 0.3
Five-SeveN | Sky Blue,The Ascent Collection,Industrial Grade,0 - 0.6
Five-SeveN | Autumn Thicket,The Radiant Collection,Consumer Grade,0 - 0.636986
Five-SeveN | Withered Vine,The 2021 Dust 2 Collection,Industrial Grade,0 - 0.5
Five-SeveN | Orange Peel,The Dust 2 Collection,Industrial Grade,0.06 - 0.8
G3SG1 | Ancient Ritual,The Ancient Collection,Industrial Grade,0 - 0.76
G3SG1 | Murky,The Vanguard Collection,Mil-Spec Grade,0 - 0.25
G3SG1 | Violet Murano,The Canals Collection,Mil-Spec Grade,0 - 0.5
G3SG1 | Chronos,The Gods and Monsters Collection,Restricted,0 - 0.4
G3SG1 | Black Sand,The Shattered Web Collection,Mil-Spec Grade,0 - 0.8
G3SG1 | The Executioner,The Revolver Case Collection,Classified,0.14 - 0.85
G3SG1 | Dream Glade,The Dreams & Nightmares Collection,Restricted,0 - 1
G3SG1 | Keeping Tabs,The Operation Riptide Collection,Mil-Spec Grade,0 - 0.7
G3SG1 | High Seas,The Horizon Collection,Restricted,0 - 0.7
G3SG1 | Hunter,The Spectrum 2 Collection,Mil-Spec Grade,0 - 1
G3SG1 | Digital Mesh,The Operation Broken Fang Collection,Mil-Spec Grade,0 - 0.8
G3SG1 | Flux,The Shadow Collection,Classified,0 - 0.9
G3SG1 | Scavenger,The Danger Zone Collection,Restricted,0 - 0.65
G3SG1 | Ventilator,The Gamma 2 Collection,Mil-Spec Grade,0 - 0.45
G3SG1 | Stinger,The Glove Collection,Restricted,0 - 0.7
G3SG1 | Polar Camo,The Train Collection,Consumer Grade,0.06 - 0.8
G3SG1 | Arctic Camo,The Office Collection,Industrial Grade,0.06 - 0.8
G3SG1 | Demeter,The Bravo Collection,Mil-Spec Grade,0.06 - 0.8
G3SG1 | Desert Storm,The Dust 2 Collection,Consumer Grade,0.06 - 0.8
G3SG1 | Orange Kimono,The Rising Sun Collection,Consumer Grade,0 - 0.8
G3SG1 | VariCamo,The Safehouse Collection,Industrial Grade,0 - 0.6
G3SG1 | Green Apple,The Bank Collection,Industrial Grade,0 - 0.3
G3SG1 | Contractor,The Baggage Collection,Consumer Grade,0.06 - 0.8
G3SG1 | Red Jasper,The Radiant Collection,Consumer Grade,0 - 0.637288
G3SG1 | Orange Crash,The Chroma 3 Collection,Mil-Spec Grade,0 - 0.52
G3SG1 | Green Cell,The Boreal Collection,Consumer Grade,0 - 0.65
G3SG1 | Safari Mesh,The Mirage Collection,Consumer Grade,0.06 - 0.8
G3SG1 | New Roots,The 2021 Dust 2 Collection,Mil-Spec Grade,0 - 0.55
G3SG1 | Jungle Dashed,The Lake Collection,Consumer Grade,0.06 - 0.8
G3SG1 | Azure Zebra,The eSports 2013 Winter Collection,Mil-Spec Grade,0 - 0.28
Galil AR | Amber Fade,The 2021 Dust 2 Collection,Mil-Spec Grade,0 - 0.4
Galil AR | Aqua Terrace,The Rising Sun Collection,Mil-Spec Grade,0 - 0.7
Galil AR | Blue Titanium,The eSports 2013 Winter Collection,Mil-Spec Grade,0 - 0.04
Galil AR | Rainbow Spoon,The Sport & Field Collection,Classified,0 - 0.554422
Galil AR | Cerberus,The Cache Collection,Restricted,0 - 0.9
Galil AR | Chatterbox,The Chroma Collection,Covert,0.35 - 0.85
Galil AR | Black Sand,The Glove Collection,Mil-Spec Grade,0 - 1
Galil AR | Sugar Rush,The Operation Hydra Collection,Classified,0 - 0.55
Galil AR | Chromatic Aberration,The Snakebite Collection,Classified,0 - 1
Galil AR | Destroyer,The Recoil Collection,Mil-Spec Grade,0 - 0.7
Galil AR | Eco,The Chroma 2 Collection,Classified,0.1 - 0.85
Galil AR | Rocket Pop,The Falchion Collection,Mil-Spec Grade,0 - 1
Galil AR | NV,The Graphic Design Collection,Industrial Grade,0 - 0.47
Galil AR | Sandstorm,The Winter Offensive Collection,Mil-Spec Grade,0.1 - 0.6
Galil AR | Control,The Fever Collection,Restricted,0 - 0.798995
Galil AR | Stone Cold,The Shadow Collection,Restricted,0 - 0.9
Galil AR | Connexion,The Fracture Collection,Restricted,0 - 0.8
Galil AR | Vandal,The Operation Broken Fang Collection,Mil-Spec Grade,0 - 1
Galil AR | Firefight,The Chroma 3 Collection,Restricted,0 - 1
Galil AR | Shattered,The Bravo Collection,Mil-Spec Grade,0.06 - 0.8
Galil AR | Orange DDPAT,The eSports 2013 Collection,Restricted,0.06 - 0.8
Galil AR | Winter Forest,The Office Collection,Industrial Grade,0.06 - 0.8
Galil AR | Kami,The Huntsman Collection,Mil-Spec Grade,0 - 0.6
Galil AR | Signal,The Danger Zone Collection,Restricted,0 - 0.5
Galil AR | Cold Fusion,The 2018 Nuke Collection,Industrial Grade,0 - 0.83
Galil AR | Dusk Ruins,The Ancient Collection,Mil-Spec Grade,0 - 0.6
Galil AR | VariCamo,The Safehouse Collection,Industrial Grade,0 - 0.6
Galil AR | Urban Rubble,The Chop Shop Collection,Industrial Grade,0 - 0.5
Galil AR | Acid Dart,The Boreal Collection,Industrial Grade,0 - 0.6
Galil AR | Green Apple,The Train 2025 Collection,Industrial Grade,0 - 0.3
Galil AR | Tuxedo,The Bank Collection,Mil-Spec Grade,0 - 0.8
Galil AR | Tornado,The Norse Collection,Consumer Grade,0.06 - 0.8
Galil AR | Grey Smoke,The Ascent Collection,Consumer Grade,0 - 0.6
Galil AR | O-Ranger,The Radiant Collection,Industrial Grade,0 - 0.75
Galil AR | Robin's Egg,The Ascent Collection,Industrial Grade,0 - 0.6
Galil AR | Akoben,The Prisma Collection,Mil-Spec Grade,0 - 0.75
Galil AR | CAUTION!,The 2021 Vertigo Collection,Restricted,0 - 0.55
Galil AR | Crimson Tsunami,The Spectrum Collection,Restricted,0 - 0.55
Galil AR | Hunting Blind,The Mirage Collection,Consumer Grade,0 - 0.6
Galil AR | Metallic Squeezer,The Overpass 2024 Collection,Mil-Spec Grade,0 - 0.6
Galil AR | Phoenix Blacklight,The Havoc Collection,Restricted,0 - 0.7
Galil AR | Sage Spray,The Lake Collection,Consumer Grade,0.06 - 0.8
Glock-18 | Fade,The Assault Collection,Restricted,0 - 0.08
Glock-18 | Moonrise,The Clutch Collection,Restricted,0 - 0.65
Glock-18 | High Beam,The 2018 Inferno Collection,Industrial Grade,0 - 0.08
Glock-18 | Twilight Galaxy,The Chop Shop Collection,Classified,0 - 0.2
Glock-18 | Steel Disruption,The eSports 2014 Summer Collection,Restricted,0 - 0.2
Glock-18 | Dragon Tattoo,The Arms Deal Collection,Restricted,0 - 0.08
Glock-18 | Gamma Doppler,The 2021 Train Collection,Covert,0 - 0.5
Glock-18 | Gamma Doppler,The 2021 Train Collection,Covert,0 - 0.5
Glock-18 | Gamma Doppler,The 2021 Train Collection,Covert,0 - 0.5
Glock-18 | Gamma Doppler,The 2021 Train Collection,Covert,0 - 0.5
Glock-18 | Gamma Doppler,The 2021 Train Collection,Covert,0 - 0.5
Glock-18 | Reactor,The Cache Collection,Mil-Spec Grade,0 - 1
Glock-18 | Nuclear Garden,The 2018 Nuke Collection,Restricted,0 - 0.7
Glock-18 | Brass,The Dust Collection,Restricted,0 - 1
Glock-18 | Bunsen Burner,The Falchion Collection,Mil-Spec Grade,0 - 0.8
Glock-18 | Grinder,The Vanguard Collection,Restricted,0.02 - 0.25
Glock-18 | Ironwork,The Glove Collection,Mil-Spec Grade,0 - 1
Glock-18 | Water Elemental,The Breakout Collection,Classified,0 - 0.7
Glock-18 | Oxide Blaze,The Danger Zone Collection,Mil-Spec Grade,0 - 0.85
Glock-18 | Bullet Queen,The Prisma 2 Collection,Covert,0 - 1
Glock-18 | Weasel,The Gamma 2 Collection,Restricted,0 - 1
Glock-18 | Catacombs,The Chroma Collection,Mil-Spec Grade,0 - 0.5
Glock-18 | Vogue,The Fracture Collection,Classified,0 - 0.75
Glock-18 | Sacrifice,The CS20 Collection,Mil-Spec Grade,0 - 1
Glock-18 | Off World,The Spectrum 2 Collection,Mil-Spec Grade,0 - 1
Glock-18 | Umbral Rabbit,The Revolution Collection,Restricted,0 - 0.75
Glock-18 | Neo-Noir,The Operation Broken Fang Collection,Covert,0 - 1
Glock-18 | Ramese's Reach,The Anubis Collection,Restricted,0 - 1
Glock-18 | Snack Attack,The Operation Riptide Collection,Classified,0 - 1
Glock-18 | Wasteland Rebel,The Gamma Collection,Covert,0 - 0.54
Glock-18 | Franklin,The Havoc Collection,Restricted,0 - 0.4
Glock-18 | Block-18,The Kilowatt Collection,Restricted,0 - 0.671875
Glock-18 | Gold Toof,The Gallery Collection,Covert,0 - 0.730496
Glock-18 | Shinobu,The Fever Collection,Classified,0 - 1
Glock-18 | Green Line,The Train 2025 Collection,Mil-Spec Grade,0 - 1
Glock-18 | Royal Legion,The Wildfire Collection,Restricted,0 - 1
Glock-18 | Wraiths,The Shadow Collection,Mil-Spec Grade,0 - 0.8
Glock-18 | Winterized,The Recoil Collection,Mil-Spec Grade,0 - 1
Glock-18 | Clear Polymer,The Snakebite Collection,Mil-Spec Grade,0 - 1
Glock-18 | Warhawk,The Horizon Collection,Mil-Spec Grade,0 - 1
Glock-18 | AXIA,The Sport & Field Collection,Classified,0 - 0.7
Glock-18 | Blue Fissure,The Arms Deal 3 Collection,Mil-Spec Grade,0.06 - 0.58
Glock-18 | Pink DDPAT,The 2021 Mirage Collection,Restricted,0.06 - 0.8
Glock-18 | Synth Leaf,The St. Marc Collection,Restricted,0 - 0.7
Glock-18 | Death Rattle,The Bank Collection,Industrial Grade,0.08 - 0.5
Glock-18 | Teal Graf,The Overpass 2024 Collection,Mil-Spec Grade,0 - 0.5
Glock-18 | Ocean Topo,The Ascent Collection,Industrial Grade,0 - 0.6
Glock-18 | Night,The Overpass Collection,Industrial Grade,0.06 - 0.8
Glock-18 | Groundwater,The Mirage Collection,Industrial Grade,0.06 - 0.8
Glock-18 | Candy Apple,The Italy Collection,Mil-Spec Grade,0 - 0.3
Glock-18 | Sand Dune,The Alpha Collection,Industrial Grade,0.06 - 0.8
Glock-18 | Coral Bloom,The Radiant Collection,Mil-Spec Grade,0 - 0.752941
Glock-18 | Red Tire,The 2021 Vertigo Collection,Industrial Grade,0 - 0.55
Glock-18 | Glockingbird,The Boreal Collection,Restricted,0 - 0.67
P2000 | Amber Fade,The Dust 2 Collection,Restricted,0 - 0.4
P2000 | Space Race,The 2021 Train Collection,Restricted,0 - 0.6
P2000 | Panther Camo,The Ancient Collection,Industrial Grade,0 - 0.5
P2000 | Chainmail,The Cobblestone Collection,Mil-Spec Grade,0 - 0.22
P2000 | Dispatch,The Control Collection,Mil-Spec Grade,0 - 0.65
P2000 | Ocean Foam,The Bravo Collection,Classified,0 - 0.12
P2000 | Imperial,The Revolver Case Collection,Mil-Spec Grade,0 - 0.2
P2000 | Scorpion,The Dust Collection,Restricted,0 - 0.08
P2000 | Silver,The Office Collection,Mil-Spec Grade,0 - 0.08
P2000 | Acid Etched,The Prisma 2 Collection,Restricted,0 - 1
P2000 | Handgun,The Falchion Collection,Restricted,0 - 1
P2000 | Gnarled,The Fracture Collection,Mil-Spec Grade,0 - 1
P2000 | Corticera,The eSports 2014 Summer Collection,Classified,0.06 - 0.3
P2000 | Coach Class,The Baggage Collection,Industrial Grade,0 - 1
P2000 | Wicked Sick,The Revolution Collection,Classified,0 - 1
P2000 | Fire Elemental,The Vanguard Collection,Covert,0 - 0.6
P2000 | Woodsman,The Operation Hydra Collection,Restricted,0 - 0.8
P2000 | Ivory,The Breakout Collection,Mil-Spec Grade,0 - 1
P2000 | Obsidian,The Shattered Web Collection,Restricted,0 - 1
P2000 | Pulse,The Huntsman Collection,Mil-Spec Grade,0 - 0.6
P2000 | Urban Hazard,The Clutch Collection,Mil-Spec Grade,0 - 1
P2000 | Lifted Spirits,The Dreams & Nightmares Collection,Mil-Spec Grade,0 - 1
P2000 | Turf,The Glove Collection,Mil-Spec Grade,0 - 1
P2000 | Imperial Dragon,The Gamma Collection,Classified,0 - 0.63
P2000 | Coral Halftone,The Graphic Design Collection,Industrial Grade,0 - 0.52
P2000 | Granite Marbleized,The Italy Collection,Industrial Grade,0.06 - 0.8
P2000 | Oceanic,The Chroma 3 Collection,Mil-Spec Grade,0 - 0.6
P2000 | Red FragCam,The Arms Deal 3 Collection,Mil-Spec Grade,0 - 0.7
P2000 | Sure Grip,The Fever Collection,Mil-Spec Grade,0 - 0.9
P2000 | Grassland,The Overpass Collection,Industrial Grade,0.06 - 0.8
P2000 | Marsh,The Boreal Collection,Industrial Grade,0 - 0.6
P2000 | Pathfinder,The Gods and Monsters Collection,Industrial Grade,0 - 0.35
P2000 | Grassland Leaves,The Militia Collection,Industrial Grade,0.06 - 0.8
P2000 | Royal Baroque,The Ascent Collection,Mil-Spec Grade,0 - 0.6
★ Butterfly Knife | Fade,Knife Case,Covert,0 - 0.08
★ Butterfly Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Butterfly Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Butterfly Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Butterfly Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Butterfly Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Butterfly Knife | Gamma Doppler,Knife Case,Covert,0 - 0.08
★ Butterfly Knife | Gamma Doppler,Knife Case,Covert,0 - 0.08
★ Butterfly Knife | Gamma Doppler,Knife Case,Covert,0 - 0.08
★ Butterfly Knife | Gamma Doppler,Knife Case,Covert,0 - 0.08
★ Butterfly Knife | Gamma Doppler,Knife Case,Covert,0 - 0.08
★ Butterfly Knife | Marble Fade,Knife Case,Covert,0 - 0.08
★ Butterfly Knife | Freehand,Knife Case,Covert,0 - 0.48
★ Butterfly Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Butterfly Knife | Doppler,Knife Case,Covert,0 - 0.08
★ Butterfly Knife | Slaughter,Knife Case,Covert,0.01 - 0.26
★ Butterfly Knife | Tiger Tooth,Knife Case,Covert,0 - 0.08
★ Butterfly Knife | Blue Steel,Knife Case,Covert,0 - 1
